study,seed,wr,burn_mult,thr,exit_z,block_h,min_n,epd,dust,cad,cool,stat,gamma,tau,join_day,cleared,clear_day,steady_share,sk_paid_pd,sk_trades,noise_paid_pd,mom_ev_pd,noise_passes,noise_pass_epochs,entries,quits,rereg,eq_crowd,unalloc_steady
wr,2,0.5,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,36.0,0.5426630542711849,550.590888785601,199,129.8566112143164,2.754223906975716,2,9336.0,48,47,0,0.9329608938547486,9.145901499414407e-17
wr,3,0.5,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,36.0,0.5968429667722625,516.1368482659171,199,122.42398506742094,1.8754200779272194,2,14376.0,48,47,0,0.9329608938547486,6.044719866383243e-17
wr,4,0.5,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,29.0,0.5892971684571594,546.1511208574575,198,140.9663791425058,2.7626597765764704,2,14376.0,48,47,0,0.9329608938547486,6.507312793310391e-17
wr,5,0.5,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,29.0,0.9093910661704229,625.8977412052596,198,61.21975879461544,1.0286352235972154,1,5592.0,48,47,0,0.9329608938547486,1.0223562116892736e-16
wr,6,0.5,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,29.0,0.9799353154570594,631.977574328609,197,55.136592338008185,0.8958512357061025,1,10632.0,48,47,0,0.9329608938547486,9.18208195179977e-17
wr,7,0.5,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,29.0,0.6046547962315904,606.3374384514586,198,80.78006154838016,1.4495377124910216,1,3744.0,48,47,0,0.9329608938547486,1.4136219610567055e-17
wr,8,0.5,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,29.0,0.5413658397546723,536.8029576321828,197,141.93120903445123,2.370526697106174,2,14376.0,48,47,0,0.9329608938547486,6.3574223477138854e-18
wr,9,0.5,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,50.5,0.6212790237046129,465.9002093648133,198,112.7764573018544,2.0591630282793756,2,14376.0,48,47,0,0.9329608938547486,5.845727378263743e-17
wr,0,0.55,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,29.0,0.9800000000000002,673.582905268554,197,13.584594731225007,-0.009595129092749267,0,0.0,48,47,0,0.9329608938547486,1.2430569712399914e-17
wr,1,0.55,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,58.0,0.9800000000000002,644.8907042084517,197,13.619295791339999,0.0071028898661577924,0,0.0,48,47,0,0.9329608938547486,-1.0699076633957514e-17
wr,2,0.55,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,36.0,0.5967232910500617,564.4859112494045,197,115.9615887504666,2.423390038788816,2,9336.0,48,47,0,0.9329608938547486,8.716904706845096e-17
wr,3,0.55,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,36.0,0.624723502015064,565.5216240883025,197,114.68920924500426,1.7420618740924485,2,14376.0,48,47,0,0.9329608938547486,4.535478138308077e-17
wr,4,0.55,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,29.0,0.5583498992367417,552.2572194293228,195,134.8602805706784,2.629918503275875,2,14376.0,48,47,0,0.9329608938547486,6.217869174227483e-17
wr,5,0.55,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,29.0,0.9360519133860943,639.2470742574496,197,47.8704257424468,0.7384323311587669,1,5592.0,48,47,0,0.9329608938547486,1.0453566421342547e-16
wr,6,0.55,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,29.0,0.9799519171275127,637.021861143612,195,50.09230552303247,0.7861928266848912,1,10632.0,48,47,0,0.9329608938547486,9.383658757946796e-17
wr,7,0.55,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,29.0,0.6561947628062573,615.5630924683423,197,71.5544075315152,1.2489800164722176,1,3744.0,48,47,0,0.9329608938547486,1.3877787807814457e-17
wr,8,0.55,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,29.0,0.629312776915048,569.9518699874841,195,117.11229667917598,1.910917209045522,2,14376.0,48,47,0,0.9329608938547486,-4.419183827069408e-18
wr,9,0.55,0.0,1.25,0.5,168.0,4,1,0.02,12,84,ret,0.25,1.0,0.0,1,50.5,0.6620511559055487,531.6616413382228,197,103.36502532845103,1.8630915288334715,2,14376.0,48,47,0,0.9329608938547486,5.858648968401373e-17
