seed,skin,bond,adversary,breakw,sk_w,empty,gate_z,sk_policy,sk_topups_tao,sk_swept_tao,sk_ruin_weeks,clear_day,steady,sk_em_pd,sk_pre_clear_pd,sk_settle_tao,sk_net_tao,leak_pct,adv_ev_tao,adv_settle_tao,adv_stake_now,passes,entries,adv_entry_mean,adv_entry_min_frac,crowd
2,always,0.0,aware,False,0.35,False,1.25,f0.03+refill+sweep,53.16529645816088,111.22519598577375,0,50.5,0.8074759323204848,501.3446057318879,0.15422453870977657,61.80989952761292,1004.337758303562,6.050570112508048,-0.13684085586521877,-1.2877062401586024,0.48813578179724226,2,48,15.0,0.0,0.9329608938547486
3,always,0.0,aware,False,0.35,False,1.25,f0.03+refill+sweep,70.15896361713496,71.8617446582546,0,50.0,0.1941523614443412,96.51486646244963,0.2377693031398377,1.7027810411196573,183.15072999052495,1.3504231211152404,-0.20261040489515839,-0.035474605023326077,1.0561850576016634,2,48,15.0,0.0,0.9329608938547486
4,always,0.0,aware,False,0.35,False,1.25,f0.03+refill+sweep,66.56736104461925,95.6901801855328,0,127.5,0.6295935251215387,349.7850543192335,0.14918446363019994,32.87281914091358,690.4687212610725,25.088510134079364,5.804577276969149,-0.6848503987690325,0.6683175794391197,2,48,15.0,0.0,0.9329608938547486
0,always,0.0,aware,False,0.35,False,1.5,f0.03+refill+sweep,79.2938436086077,76.06479087283867,0,89.0,0.09836543996294994,111.05518613385856,1.069768003969205,-3.2290527357690024,205.55469719588507,1.4700316172227204,-0.06632361056244457,0.06727193199518763,1.2261856956481705,0,48,15.0,0.0,0.9329608938547486
1,always,0.0,aware,False,0.35,False,1.5,f0.03+refill+sweep,63.22730533053655,83.87486125167291,0,138.5,0.98,467.25350178409525,1.263501784224439,20.647555921136366,899.0841392752353,1.7323864120271615,-0.49018420944281305,-0.43015741502367444,0.9050659074813364,0,48,15.0,0.0,0.9329608938547486
2,always,0.0,aware,False,0.35,False,1.5,f0.03+refill+sweep,53.16529645816088,111.22519598577375,0,221.0,0.8074759323204848,403.356349243571,2.0581573582616164,61.80989952761292,820.1198361055264,5.929276716248075,-0.17085358784888224,-1.2877062401586024,0.48813578179724226,1,48,15.0,0.0,0.9329608938547486
3,always,0.0,aware,False,0.35,False,1.5,f0.03+refill+sweep,70.15896361713496,71.8617446582546,0,240.0,0.17536718967352977,62.6360076610525,0.9607989652065793,1.7027810411196573,119.45847544389835,1.3018437766090414,-0.21623287961826643,-0.035474605023326077,1.0561850576016634,2,48,15.0,0.0,0.9329608938547486
4,always,0.0,aware,False,0.35,False,1.5,f0.03+refill+sweep,66.56736104461925,95.6901801855328,0,127.5,0.6295935251215387,343.52725860706346,0.14918446363019994,32.87281914091358,678.7040653221927,25.02511664686535,5.786800664584592,-0.6848503987690325,0.6683175794391197,2,48,15.0,0.0,0.9329608938547486
0,always,1.5,aware,False,0.35,False,1.25,f0.03+refill+sweep,79.2938436086077,76.06479087283867,0,89.0,0.09836543996294994,121.15894762307563,1.069768003969205,-3.2290527357690024,224.54976879561315,1.4960440961774775,-0.41362313738796647,0.06727193199518763,1.2261856956481705,0,48,15.0,0.0,0.9329608938547486
1,always,1.5,aware,False,0.35,False,1.25,f0.03+refill+sweep,63.22730533053655,83.87486125167291,0,61.0,0.98,494.2281082642159,0.10321384813806463,20.647555921136366,949.7963994578621,1.7638677859246397,-0.857677386899617,-0.43015741502367444,0.9050659074813364,0,48,15.0,0.0,0.9329608938547486
2,always,1.5,aware,False,0.35,False,1.25,f0.03+refill+sweep,53.16529645816088,111.22519598577375,0,50.5,0.8074759323204848,501.3446057318879,0.15422453870977657,61.80989952761292,1004.337758303562,6.050570112508048,-0.42304768437122603,-1.2877062401586024,0.48813578179724226,2,48,15.0,0.0,0.9329608938547486
3,always,1.5,aware,False,0.35,False,1.25,f0.03+refill+sweep,70.15896361713496,71.8617446582546,0,50.0,0.1941523614443412,96.51486646244963,0.2377693031398377,1.7027810411196573,183.15072999052495,1.3504231211152404,-0.492322079483154,-0.035474605023326077,1.0561850576016634,2,48,15.0,0.0,0.9329608938547486
4,always,1.5,aware,False,0.35,False,1.25,f0.03+refill+sweep,66.56736104461925,95.6901801855328,0,127.5,0.6295935251215387,349.7850543192335,0.14918446363019994,32.87281914091358,690.4687212610725,25.088510134079364,5.589151218472435,-0.6848503987690325,0.6683175794391197,2,48,15.0,0.0,0.9329608938547486
0,always,0.0,aware,False,0.4,False,1.25,f0.03+refill+sweep,66.1076644666951,104.08319707879528,0,86.0,0.596759776536313,527.8829380899062,1.1329380900624533,37.97553261210017,1030.3954562211238,1.5306377573095267,-0.9077574791499113,-0.7911569294187532,0.7794737165073721,0,48,15.0,0.0,0.9329608938547486
1,always,0.0,aware,False,0.4,False,1.25,f0.03+refill+sweep,47.0979728124645,93.75069483789022,0,61.0,0.98,571.608944780562,0.10321384813806463,46.65272202542573,1121.277538212882,1.7693378645306579,-1.0215966873122866,-0.9719317088630358,0.7104166627898936,0,48,15.0,0.0,0.9329608938547486
2,always,0.0,aware,False,0.4,False,1.25,f0.03+refill+sweep,46.12659018248526,106.11037913983805,0,50.5,0.832021231607993,521.9082143043615,0.15422453870977657,63.733788957352814,1044.9212318495524,5.436901918716983,-0.34900488807294455,-1.32778726994485,0.4970743374086959,2,48,15.0,0.0,0.9329608938547486
3,always,0.0,aware,False,0.4,False,1.25,f0.03+refill+sweep,44.7651117869036,119.90715072205951,0,50.5,0.858021551121322,484.4473118552043,0.29657799747390734,75.14203893515591,985.9029852229398,5.307481321508933,-0.622968500015307,-1.5654591444824144,0.8211468662446544,2,48,15.0,0.0,0.9329608938547486
4,always,0.0,aware,False,0.4,False,1.25,f0.03+refill+sweep,60.93622011165449,107.3836319258071,0,92.5,0.7935294545204434,534.9326267331661,0.5868963649271005,46.447411814152616,1052.120750072505,11.474695678316749,1.7042280656209936,-0.9676544127948459,0.8762955486790531,2,48,15.0,0.0,0.9329608938547486
